circuit,computational_fidelity,exec_time,experiment,n_gates,n_local_gates,n_qpus,n_qubits,n_remote_gates,network,p_c,p_d,p_e,p_ent,p_t,prefetch_time,seed,total_time
cnt3-5_180,3.847280516958517e-20,184525.0,exp_pc,485.0,270.0,16.0,16.0,215.0,mpqn,0.12,0.8,0.8,0.0026634240000000006,0.85,160.0,7.0,184685.0
cnt3-5_180,4.8051539265517266e-29,370600.0,exp_pc,485.0,270.0,16.0,16.0,215.0,static_line,0.12,0.8,0.8,0.0026634240000000006,0.85,1000.0,7.0,371600.0
cnt3-5_180,1.2658284935730378e-23,329104.0,exp_pc,485.0,270.0,16.0,16.0,215.0,static_grid,0.12,0.8,0.8,0.0026634240000000006,0.85,1000.0,7.0,330104.0
adr4_197,3.209810943405505e-135,1696630.0,exp_pc,3424.0,1926.0,13.0,13.0,1498.0,qmsn,0.12,0.8,0.8,0.0026634240000000006,0.85,220.0,7.0,1696850.0
adr4_197,5.316459245348798e-136,1528050.0,exp_pc,3424.0,1926.0,13.0,13.0,1498.0,mpqn,0.12,0.8,0.8,0.0026634240000000006,0.85,160.0,7.0,1528210.0
adr4_197,1.2580445031434806e-195,2917102.0,exp_pc,3424.0,1926.0,13.0,13.0,1498.0,static_line,0.12,0.8,0.8,0.0026634240000000006,0.85,1000.0,7.0,2918102.0
adr4_197,1.1109139431282088e-171,2819125.0,exp_pc,3424.0,1926.0,16.0,13.0,1498.0,static_grid,0.12,0.8,0.8,0.0026634240000000006,0.85,2000.0,7.0,2821125.0
0410184_169,3.3707329757294493e-10,87770.0,exp_pc,203.0,99.0,14.0,14.0,104.0,qmsn,0.12,0.8,0.8,0.0026634240000000006,0.85,110.0,7.0,87880.0
0410184_169,3.652103022397482e-10,79491.0,exp_pc,203.0,99.0,14.0,14.0,104.0,mpqn,0.12,0.8,0.8,0.0026634240000000006,0.85,54.0,7.0,79545.0
0410184_169,3.2843208733199025e-15,166804.0,exp_pc,203.0,99.0,14.0,14.0,104.0,static_line,0.12,0.8,0.8,0.0026634240000000006,0.85,4000.0,7.0,170804.0
0410184_169,1.7771391526879383e-13,140709.0,exp_pc,203.0,99.0,16.0,14.0,104.0,static_grid,0.12,0.8,0.8,0.0026634240000000006,0.85,3000.0,7.0,143709.0
z4_268,1.9340891930648412e-121,1503030.0,exp_pc,3062.0,1719.0,11.0,11.0,1343.0,qmsn,0.12,0.8,0.8,0.0026634240000000006,0.85,220.0,7.0,1503250.0
z4_268,5.065309146599735e-122,1329223.0,exp_pc,3062.0,1719.0,11.0,11.0,1343.0,mpqn,0.12,0.8,0.8,0.0026634240000000006,0.85,130.5,7.0,1329353.5
z4_268,1.0249925058186954e-157,2440007.0,exp_pc,3062.0,1719.0,11.0,11.0,1343.0,static_line,0.12,0.8,0.8,0.0026634240000000006,0.85,2000.0,7.0,2442007.0
z4_268,4.482991011965798e-142,2472316.0,exp_pc,3062.0,1719.0,12.0,11.0,1343.0,static_grid,0.12,0.8,0.8,0.0026634240000000006,0.85,3000.0,7.0,2475316.0
cnt3-5_180,4.979962981352545e-20,182700.0,exp_pc,485.0,270.0,16.0,16.0,215.0,qmsn,0.16,0.8,0.8,0.004734976,0.85,220.0,7.0,182920.0
cnt3-5_180,3.847280516958519e-20,174758.0,exp_pc,485.0,270.0,16.0,16.0,215.0,mpqn,0.16,0.8,0.8,0.004734976,0.85,94.5,7.0,174852.5
cnt3-5_180,4.8051539265517266e-29,354601.0,exp_pc,485.0,270.0,16.0,16.0,215.0,static_line,0.16,0.8,0.8,0.004734976,0.85,1000.0,7.0,355601.0
cnt3-5_180,1.2658284935730391e-23,329008.0,exp_pc,485.0,270.0,16.0,16.0,215.0,static_grid,0.16,0.8,0.8,0.004734976,0.85,1000.0,7.0,330008.0
adr4_197,3.209810943405497e-135,1542630.0,exp_pc,3424.0,1926.0,13.0,13.0,1498.0,qmsn,0.16,0.8,0.8,0.004734976,0.85,220.0,7.0,1542850.0
adr4_197,5.324059614670534e-136,1536593.5,exp_pc,3424.0,1926.0,13.0,13.0,1498.0,mpqn,0.16,0.8,0.8,0.004734976,0.85,94.5,7.0,1536688.0
