circuit,computational_fidelity_mean,computational_fidelity_std,exec_time_mean,exec_time_std,experiment,network,p_c,p_d,p_e,p_ent,p_t,prefetch_time_mean,prefetch_time_std,runs,total_time_mean,total_time_std
cnt3-5_180,1.2658284935730378e-23,0.0,329104.0,0.0,exp_pc,static_grid,0.12,0.8,0.8,0.0026634240000000006,0.85,1000.0,0.0,1.0,330104.0,0.0
adr4_197,3.209810943405505e-135,0.0,1696630.0,0.0,exp_pc,qmsn,0.12,0.8,0.8,0.0026634240000000006,0.85,220.0,0.0,1.0,1696850.0,0.0
adr4_197,5.316459245348798e-136,0.0,1528050.0,0.0,exp_pc,mpqn,0.12,0.8,0.8,0.0026634240000000006,0.85,160.0,0.0,1.0,1528210.0,0.0
adr4_197,1.2580445031434806e-195,0.0,2917102.0,0.0,exp_pc,static_line,0.12,0.8,0.8,0.0026634240000000006,0.85,1000.0,0.0,1.0,2918102.0,0.0
adr4_197,1.1109139431282088e-171,0.0,2819125.0,0.0,exp_pc,static_grid,0.12,0.8,0.8,0.0026634240000000006,0.85,2000.0,0.0,1.0,2821125.0,0.0
0410184_169,3.3707329757294493e-10,0.0,87770.0,0.0,exp_pc,qmsn,0.12,0.8,0.8,0.0026634240000000006,0.85,110.0,0.0,1.0,87880.0,0.0
0410184_169,3.652103022397482e-10,0.0,79491.0,0.0,exp_pc,mpqn,0.12,0.8,0.8,0.0026634240000000006,0.85,54.0,0.0,1.0,79545.0,0.0
0410184_169,3.2843208733199025e-15,0.0,166804.0,0.0,exp_pc,static_line,0.12,0.8,0.8,0.0026634240000000006,0.85,4000.0,0.0,1.0,170804.0,0.0
0410184_169,1.7771391526879383e-13,0.0,140709.0,0.0,exp_pc,static_grid,0.12,0.8,0.8,0.0026634240000000006,0.85,3000.0,0.0,1.0,143709.0,0.0
z4_268,1.9340891930648412e-121,0.0,1503030.0,0.0,exp_pc,qmsn,0.12,0.8,0.8,0.0026634240000000006,0.85,220.0,0.0,1.0,1503250.0,0.0
z4_268,5.065309146599735e-122,0.0,1329223.0,0.0,exp_pc,mpqn,0.12,0.8,0.8,0.0026634240000000006,0.85,130.5,0.0,1.0,1329353.5,0.0
z4_268,1.0249925058186954e-157,0.0,2440007.0,0.0,exp_pc,static_line,0.12,0.8,0.8,0.0026634240000000006,0.85,2000.0,0.0,1.0,2442007.0,0.0
z4_268,4.482991011965798e-142,0.0,2472316.0,0.0,exp_pc,static_grid,0.12,0.8,0.8,0.0026634240000000006,0.85,3000.0,0.0,1.0,2475316.0,0.0
cnt3-5_180,4.979962981352545e-20,0.0,182700.0,0.0,exp_pc,qmsn,0.16,0.8,0.8,0.004734976,0.85,220.0,0.0,1.0,182920.0,0.0
cnt3-5_180,3.847280516958519e-20,0.0,174758.0,0.0,exp_pc,mpqn,0.16,0.8,0.8,0.004734976,0.85,94.5,0.0,1.0,174852.5,0.0
cnt3-5_180,4.8051539265517266e-29,0.0,354601.0,0.0,exp_pc,static_line,0.16,0.8,0.8,0.004734976,0.85,1000.0,0.0,1.0,355601.0,0.0
cnt3-5_180,1.2658284935730391e-23,0.0,329008.0,0.0,exp_pc,static_grid,0.16,0.8,0.8,0.004734976,0.85,1000.0,0.0,1.0,330008.0,0.0
adr4_197,3.209810943405497e-135,0.0,1542630.0,0.0,exp_pc,qmsn,0.16,0.8,0.8,0.004734976,0.85,220.0,0.0,1.0,1542850.0,0.0
adr4_197,5.324059614670534e-136,0.0,1536593.5,0.0,exp_pc,mpqn,0.16,0.8,0.8,0.004734976,0.85,94.5,0.0,1.0,1536688.0,0.0
adr4_197,1.2598429939069366e-195,0.0,2940509.0,0.0,exp_pc,static_line,0.16,0.8,0.8,0.004734976,0.85,1000.0,0.0,1.0,2941509.0,0.0
adr4_197,1.110913943128203e-171,0.0,2793719.0,0.0,exp_pc,static_grid,0.16,0.8,0.8,0.004734976,0.85,2000.0,0.0,1.0,2795719.0,0.0
0410184_169,3.3707329757294493e-10,0.0,85020.0,0.0,exp_pc,qmsn,0.16,0.8,0.8,0.004734976,0.85,110.0,0.0,1.0,85130.0,0.0
0410184_169,3.8311319776579646e-10,0.0,92647.5,0.0,exp_pc,mpqn,0.16,0.8,0.8,0.004734976,0.85,35.0,0.0,1.0,92682.5,0.0
0410184_169,3.2843208733199005e-15,0.0,175205.0,0.0,exp_pc,static_line,0.16,0.8,0.8,0.004734976,0.85,4000.0,0.0,1.0,179205.0,0.0
0410184_169,1.7771391526879408e-13,0.0,134709.0,0.0,exp_pc,static_grid,0.16,0.8,0.8,0.004734976,0.85,3000.0,0.0,1.0,137709.0,0.0
z4_268,1.9340891930648412e-121,0.0,1385660.0,0.0,exp_pc,qmsn,0.16,0.8,0.8,0.004734976,0.85,220.0,0.0,1.0,1385880.0,0.0
z4_268,5.160258113627826e-122,0.0,1352575.5,0.0,exp_pc,mpqn,0.16,0.8,0.8,0.004734976,0.85,78.0,0.0,1.0,1352653.5,0.0
z4_268,1.024992505818698e-157,0.0,2397214.0,0.0,exp_pc,static_line,0.16,0.8,0.8,0.004734976,0.85,2000.0,0.0,1.0,2399214.0,0.0
z4_268,4.482991011965798e-142,0.0,2446212.0,0.0,exp_pc,static_grid,0.16,0.8,0.8,0.004734976,0.85,3000.0,0.0,1.0,2449212.0,0.0
cnt3-5_180,4.979962981352541e-20,0.0,187870.0,0.0,exp_pc,qmsn,0.2,0.8,0.8,0.007398400000000001,0.85,110.0,0.0,1.0,187980.0,0.0
cnt3-5_180,3.847280516958523e-20,0.0,164934.5,0.0,exp_pc,mpqn,0.2,0.8,0.8,0.007398400000000001,0.85,64.0,0.0,1.0,164998.5,0.0
cnt3-5_180,4.8051539265517266e-29,0.0,354601.0,0.0,exp_pc,static_line,0.2,0.8,0.8,0.007398400000000001,0.85,1000.0,0.0,1.0,355601.0,0.0
cnt3-5_180,1.2658284935730391e-23,0.0,328706.0,0.0,exp_pc,static_grid,0.2,0.8,0.8,0.007398400000000001,0.85,1000.0,0.0,1.0,329706.0,0.0
adr4_197,3.2098109434054944e-135,0.0,1512820.0,0.0,exp_pc,qmsn,0.2,0.8,0.8,0.007398400000000001,0.85,110.0,0.0,1.0,1512930.0,0.0
adr4_197,5.324059614670523e-136,0.0,1510182.0,0.0,exp_pc,mpqn,0.2,0.8,0.8,0.007398400000000001,0.85,64.0,0.0,1.0,1510246.0,0.0
